executor_instances,executor_memory,driver_memory,machine_type,dag_duration,job_uuid,status
4,512m,512m,n1-standard-4,539,06331652-d56d-4115-90f3-1f7f2b54bae8,failed
4,512m,512m,n1-standard-4,467,1c96a4a4-c2e2-446f-a7c8-7322c9aa3eee,failed
5,300m,2048m,n1-standard-4,387,1e32b200-d674-4f79-9378-9a9eebe64387,failed
2,550m,600m,n1-standard-4,389,27785b7d-6c3d-49c1-886f-0e921b783798,running
2,600m,512m,n1-standard-4,421,2f70e378-173c-45cd-800d-273f405ab31b,success
2,512m,1024m,n1-standard-4,428,35c3c7dd-7fe1-4667-8d4d-5be6af205d24,success
6,600m,512m,n1-standard-4,432,35d0b826-ce6b-4ab7-917a-018b0429ae63,success
2,512m,512m,n1-standard-4,585,442b09cc-1aee-4a12-aed7-3fabb5f1ab3f,failed
1,1024m,1024m,n1-standard-4,429,4f748771-5278-4aa8-b45f-893f10619036,success
4,512m,512m,n1-standard-4,437,565caab3-92b9-4a6a-af68-bf863102ea29,success
2,512m,512m,n1-standard-4,720,63608538-3e31-4ab6-b537-777763e97f10,failed
15,512m,512m,n1-standard-4,424,647059d7-cea8-4377-a214-74d03e9c877d,success
5,512m,750m,n1-standard-4,436,6d5730dd-4a21-47c0-9685-cdae71fb92f0,success
6,600m,750m,n1-standard-4,432,77a1f86c-82bc-4a39-ad33-965015c34b48,success
2,550m,600m,n1-standard-4,433,7cb2cb27-ae98-47ad-b21b-9dda1f2219f9,success
2,512m,512m,n1-standard-4,451,802879c0-e06b-4b4a-9e62-cd8ffd7b392d,success
10,1024m,1024m,n1-standard-4,435,8bbabcbd-5a46-4987-9b07-3bbd50f89ecc,success
2,550m,600m,n1-standard-4,463,9bc20da9-5ef9-4d70-8fbb-a5a13fe8a471,failed
4,550m,600m,n1-standard-4,439,9e98ea8d-3507-4c83-9569-bd926d6ee8f5,success
5,700m,1024m,n1-standard-4,427,a008afbd-40e0-4464-bc0c-8baa146c8691,success
2,512m,512m,n1-standard-4,437,a7637f38-3f1d-4fb1-b928-7080a737e784,success
1,512m,1024m,n1-standard-4,432,aba82c40-521a-4938-bfaa-0890d969091c,success
4,550m,600m,n1-standard-4,459,b0f38221-4d40-4e70-9463-e72d587b51d9,failed
1,7000m,512m,n1-standard-4,430,b958b012-a512-462a-81b4-359c90c0658c,success
6,650m,512m,n1-standard-4,426,c098ddc6-4c47-479f-9bde-717bfbe3ec03,success
5,1024m,1024m,n1-standard-4,425,ced2ffb7-f6b8-41d0-b547-f7e037a18182,success
2,600m,750m,n1-standard-4,436,d5168832-bee5-4cb4-9f20-f6181c4eaee9,success
10,512m,2048m,n1-standard-4,429,e8490e87-bf2e-4499-87eb-a8409e3ba8c4,success
5,1024m,1024m,n1-standard-4,440,fa38545a-8717-4b17-a710-6bc77841bf0e,success
2,500m,1024m,n1-standard-4,410,fb7d0ee7-f3c6-49cf-9d10-5a1641e1dc7d,success
2,1024m,1024m,n1-standard-4,414,fce631a4-7711-489e-b54b-e26ab1380072,success
